"Facility_name","District","Latitude","Longitude","Ownership","Medical_Doctor","Clinical_Officer","Nurses_nurseAssist","Lab_tech","Lab_assist","Microscopist","Elec_micro","Nat_micro","Centrifuge","Microscope_slides","Capillary_Tubes","Fields_Giemsa","CATT","SS_Treat","Dist_km_toTreat","Name_treat","Energy_source","Water_source","Role","Active2014","Active.2015","RDT_used_14","RDT_pos_14","RDT_used_15","RDT_pos_15"
"Abiriamajo HCII","Yumbe",3.38005,31.29646,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",10,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",28,0,14,0
"Adjugopi HCII","Adjumani",3.44563,31.91107,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",15,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",2,0,0,0
"Adjumani Hospital","Adjumani",3.374,31.79245,"Government",4,6,60,1,2,0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,"Adjumani Hosp","Thermal Generator","Bore hole","LED","Yes","Yes",158,13,196,4
"Adjumani Mission HCIII","Adjumani",3.37684,31.78165,"Private",0,1,4,0,1,0,"Yes","Yes","No","Yes","Yes","No","No","No",1,"Adjumani Hosp","Solar","Piped water","RDT","Yes","No",8,0,0,0
"Adjumani Police Clinic","Adjumani",3.3745671,31.7829675,"",,,,,,,"","","","","","","","",,"","","","","Yes","No",1,0,0,0
"Adjumani Prison","Adjumani",3.31764,31.75143,"",,,,,,,"","","","","","","","",,"","","","","Yes","No",0,0,0,0
"Adumi HCIV","Arua",3.04145,30.83332,"Government",1,3,10,1,1,1,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",72,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",31,0,0,0
"Afoji HCII","Moyo",3.69804,31.68385,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",6,"Moyo Hospital","Solar","Bore hole","RDT","Yes","Yes",1,0,10,0
"Agojo HCII","Adjumani",3.42434,31.72344,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",22,"Adjumani Hosp","No electricity","Bore hole","RDT","Yes","No",22,0,0,0
"Ajeri HCII","Adjumani",3.17323,31.7608,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",40,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",12,0,0,0
"Ajia HCIII","Arua",2.91913,31.02721,"Government",0,1,7,0,1,1,"Yes","Yes","No","Yes","Yes","Yes","No","No",110,"Omugo HCIV","Solar","river/lake/well","RDT","Yes","No",54,0,0,0
"Ajikoro HCII","Maracha",3.33926,30.91491,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",35,"Omugo HCIV","No electricity","river/lake/well","RDT","Yes","Yes",41,0,1,0
"Akino HCII","Arua",2.7341,31.18708,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",160,"Omugo HCIV","Solar","Rain water","RDT","Yes","No",7,0,0,0
"Alere HCII","Adjumani",3.46013,31.7577,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",12,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","Yes",7,0,25,0
"Aliapi HCII","Yumbe",3.42585,31.25574,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",4,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",111,0,66,0
"Aliba HCIII","Moyo",3.19372,31.52649,"Government",0,1,4,0,1,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",80,"Moyo Hosp","Solar","Bore hole","LED","Yes","Yes",86,1,92,3
"Aliwara HCII","Adjumani",3.15799,31.82297,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",68,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",11,0,0,0
"Alnoor HCII","Yumbe",3.5355,31.255,"PNFP",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",8,"Yumbe Hopsital","Solar","Bore hole","RDT","Yes","Yes",27,1,20,0
"Ambelecu HCII","Yumbe",3.36673,31.18753,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",16,"Yumbe Hosp","No electricity","Bore hole","RDT","Yes","Yes",73,0,68,0
"Amuru HCII","Amuru",2.81976,31.92298,"Government",0,1,1,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","No electricity","Bore hole","RDT","Yes","No",21,0,0,0
"Andelizo HCII","Arua",3.15839,31.11036,"Government",0,0,1,0,0,0,"No","No","No","No","No","No","No","No",15,"Omugo HCIV","No electricity","Bore hole","RDT","Yes","Yes",306,2,116,1
"Anyavu HCII","Arua",2.6775,30.86051,"Private",0,0,4,0,1,0,"No","Yes","No","Yes","Yes","Yes","No","No",80,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",15,0,0,0
"Anyiribu HCII","Arua",2.56272,31.11361,"Government",0,0,2,0,1,0,"No","Yes","Yes","Yes","Yes","No","No","No",149,"Omugo HCIV","Solar","river/lake/well","RDT","Yes","No",12,0,0,0
"Apaa HCII","Amuru",2.97085,31.97585,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",50,"Adjumani Hospital","No electricity","river/lake/well","RDT","Yes","No",58,0,0,0
"Apo HCII","Yumbe",3.50093,31.26856,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",10,"Yumbe Hosp","Solar","Piped water","RDT","Yes","Yes",38,0,54,0
"Arafa Domicillary MHC","Yumbe",3.45835,31.24143333,"Private",0,0,2,0,0,1,"No","Yes","No","Yes","No","No","No","No",8,"Yumbe Hospital","Solar","Piped water","RDT","No","Yes",0,0,2,0
"Arinyapi HCII","Adjumani",3.47113,32.00804,"Government",0,0,3,0,0,0,"No","Yes","No","Yes","No","Yes","No","No",32,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",2,0,0,0
"Aripea HCIII","Arua",3.17306,31.04076,"Private",0,0,5,0,1,0,"No","Yes","Yes","Yes","No","Yes","No","No",15,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",65,5,83,6
"Ariwa HCIII","Yumbe",3.24274,31.39522,"Government",0,0,5,0,1,0,"Yes","No","Yes","Yes","Yes","Yes","No","No",30,"Yumbe Hopsital","Solar","Rain water","RDT","Yes","Yes",23,0,25,0
"Aroi HCIII","Arua",3.11364,30.89712,"Government",0,1,7,1,0,0,"Yes","Yes","No","Yes","Yes","Yes","No","No",47,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",33,0,0,0
"Arra-Omi HCII","Adjumani",3.52264,31.80194,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",16,"Adjumani Hosp","Solar","Bore hole","RDT","Yes","No",1,0,0,0
"Arra-Pakarukwe HCII","Moyo",3.6139,31.91048,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",40,"Moyo Hosp","No electricity","Piped water","RDT","Yes","Yes",7,0,57,0
"Arua Regional Hospital","Arua",3.02286,30.91204,"Government",,,,,,,"","","","Yes","","","No","No",,"","","","LED","Yes","Yes",51,4,47,0
"Atiak HCIV","Amuru",3.261464,32.122844,"Government",0,6,8,1,1,0,"Yes","Yes","Yes","Yes","No","Yes","No","No",49,"Adjumani Hosp","Solar","Rain water","LED","Yes","Yes",37,4,34,0
"Awer HCII","Amuru",2.83985,32.1749,"Government",0,1,8,0,0,0,"No","No","No","No","No","No","No","No",50,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",12,0,0,0
"Aya HCII","Moyo",3.67363,31.8273,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",20,"Moyo Hosp","Solar","river/lake/well","RDT","Yes","Yes",35,0,11,0
"Ayilo HCII","Adjumani",3.235603333,31.86927667,"Private",1,4,19,1,1,1,"Yes","No","No","Yes","No","Yes","No","No",34,"Adjumani Hospital","Solar","Piped water","RDT","No","Yes",0,0,0,0
